2457658.6079587075	54499.23	1.85
2457658.608460453	54497.6	1.59
2457659.525497905	54508.9	1.8
2457659.52600195	54511.65	1.9
2457659.526504395	54508.28	1.96
2457659.670333956	54508.25	1.5
2457659.6708378005	54509.35	1.48
2457659.671341546	54509.51	1.42
2457660.5278965426	54498.88	1.64
2457660.528400288	54496.14	1.73
2457660.5289028324	54498.62	1.73
2457660.660850935	54493.39	1.38
2457660.6613547793	54492.89	1.44
2457660.6618571235	54492.97	1.52
2457660.773831945	54484.97	1.3
2457660.774340089	54484.29	1.34
2457660.7748455335	54487.68	1.34
2457661.527951219	54455.6	1.52
2457661.528459464	54455.03	1.62
2457661.5289648087	54456.54	1.57
2457661.6881001815	54444.59	1.33
2457661.6886051255	54441.5	1.25
2457661.6891105697	54444.04	1.24
2457661.770270115	54437	1.35
2457661.7707773587	54437.41	1.39
2457661.771289803	54437.78	1.34
2457662.7597850114	54433.25	1.32
2457662.7602893542	54434.01	1.3
2457662.760795398	54432.48	1.23
2457663.5289118793	54478.93	1.63
2457663.529417923	54481.62	1.56
2457663.5299203666	54483.04	1.47
2457663.5934437606	54485	1.44
2457663.593949904	54483.44	1.52
2457663.5944517474	54484.26	1.45
2457663.7578671374	54489.58	1.29
2457663.758375981	54487.85	1.31
2457663.7588836243	54490.4	1.36
2457664.5283405785	54535.13	1.56
2457664.5288488227	54534.53	1.59
2457664.5293532657	54536.85	1.5
2457664.593648271	54538.61	1.46
2457664.594156115	54538.15	1.6
2457664.594662958	54539.04	1.65
2457665.5284263734	54535.09	1.94
2457665.528817707	54536.2	1.76
2457665.5292133405	54537.63	1.8
2457665.6118763406	54529.44	1.62
2457665.612272974	54527.75	1.45
2457665.612680008	54527.65	1.72
2457666.5287324986	54471.61	2.18
2457666.5291286316	54472.33	1.74
2457666.5295166643	54470.68	1.64
2457666.593921863	54467.93	1.58
2457666.5943145957	54468.12	1.61
2457666.5947033283	54467.79	1.54
2457667.529412839	54439.62	2.01
2457667.5298073725	54438.63	1.95
2457667.530196504	54438.07	1.72
2457667.5933245365	54437.59	1.54
2457667.5937190694	54437.17	1.59
2457667.5941085014	54438.14	1.62
2457668.529557295	54404.32	1.87
2457668.529970629	54405.89	1.59
2457668.5304161655	54405.53	1.68
2457668.5945152156	54403.26	1.47
2457668.5949780536	54406.33	1.65
2457668.59542039	54405.83	1.48
2457669.755987947	54471.2	1.88
2457669.7563761775	54470.38	1.77
2457669.7567722085	54472.06	1.87
2457670.7575716283	54568.41	2.09
2457670.7579653594	54568.86	2.13
2457670.75835839	54571.58	2.09
2457671.7701847395	54539.42	3.25
2457671.77057867	54542.02	2.12
2457671.7709735003	54543.71	2.06
2457672.7703542355	54414.66	2.23
2457672.7707441654	54413.47	2.38
2457672.771145096	54411.61	2.35
2457675.76996369	54544.92	2.48
2457675.7703531184	54544.86	2.45
2457675.770742046	54546.23	2.36
2457681.76966218	54470.22	2.75
2457681.7700504055	54471.24	2.51
2457681.770445431	54471.37	2.6
2457683.6380780945	54522.5	2.52
2457683.6384706195	54521.47	2.48
2457683.6388582448	54522.83	2.54
2457684.6229508687	54465.77	2.55
2457684.623338993	54464.75	2.6
2457684.6237349175	54466.54	2.75
2457700.6249143477	54550.91	2.29
2457700.6253177635	54551.31	2.16
2457700.625709379	54552.75	2.11
2457701.628498329	54502.46	2.07
2457701.628902544	54506.1	2.12
2457701.6293256595	54503.06	2.26
2457702.624050111	54446.22	2
2457702.6244538254	54446.65	1.83
2457702.6248733406	54445.01	2
2457703.6229985156	54484.99	1.93
2457703.623393429	54484.23	1.98
2457703.6237885426	54484.56	1.81
2457704.6237736642	54523.48	2.27
2457704.6241714773	54524.18	2.07
2457704.62456469	54522.54	2.04
2457705.622935434	54522.07	1.87
2457705.623329746	54519.86	1.98
2457705.6237258585	54519.82	1.88
2457708.6182130524	54364.82	2.02
2457708.6186085627	54362.31	2.03
2457708.619007773	54365	1.98
2457709.618227861	54408.59	2.38
2457709.618626971	54408.82	2.56
2457709.6190272807	54408.27	2.45
2457710.6500844094	54525.12	4.35
2457710.650479218	54529.12	4.93
2457710.6508838274	54529.85	3.22
2457712.735140683	54458.96	2.32
2457712.73553549	54458.19	2.29
2457712.7359372973	54458.48	2.51
