# 1: VFTS Identifier
# 2: Spectral type
# 3: log(L/Lsun)	4: d+log(L/Lsun)	5: d-log(L/Lsun)	6: CI/\%
# 7: Teff/K	8: d+Teff/K	9: d-Teff/K	10: CI/\%
# 11: log(g/cgs)	12: d+log(g/cgs)	13: d-log(g/cgs)	14: CI/\%
# 15: vsini/km/s	16: d+vsini/km/s	17: d-vsini/km/s	18: CI/\%
# 19: Y	20: d+Y	21: d-Y	22: CI/\%
# 23: Reference
# 24: Mini/Msun	25: d+Mini/Msun	26: d-Mini/Msun	27: CI/\%
# 28: vini/km/s	29: d+vini/km/s	30: d-vini/km/s	31: CI/\%
# 32: Age/Myr	33: d+Age/Myr	34: d-Age/Myr	35: CI/\%
# 36: Mpresent/Msun	37: d+Mpresent/Msun	38: d-Mpresent/Msun	39: CI/\%
# 40: R/Rsun	41: d+R/Rsun	42: d-R/Rsun	43: CI/\%
021	O9.5 IV	4.86	0.14	0.14	68.3	33840.00	880.00	880.00	68.3	3.90	0.10	0.10	68.3	40.00	30.00	30.00	68.3	-	-	-	-	(3,4)	20.2	1.7	1.4	68.3	70	39	38	68.3	4.9	0.5	0.5	68.3	19.8	1.9	1.2	68.3	7.8	1.0	0.8	68.3
022	B0-0.5 V-IIIe	4.87	0.28	0.28	68.3	25000.00	4040.00	4040.00	68.3	2.90	0.30	0.30	68.3	-	-	-	-	-	-	-	-	(6)	17.2	5.4	3.6	68.3	330	81	152	68.3	7.6	2.9	1.9	68.3	16.0	6.2	2.4	68.3	15.2	6.7	3.7	68.3
023	Late G/Early K	4.37	0.33	0.33	68.3	4750.00	650.00	650.00	68.3	-	-	-	-	-	-	-	-	-	-	-	-	(7)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
024	B0.2 III-II	4.90	0.10	0.10	68.3	28000.00	1000.00	1000.00	68.3	3.30	0.10	0.10	68.3	-	-	-	-	-	-	-	-	(6)	19.4	1.7	1.4	68.3	225	74	230	68.3	7.3	0.8	0.6	68.3	19.2	1.7	1.3	68.3	13.8	1.6	1.3	68.3
026	Late G/Early K	3.43	0.33	0.33	68.3	4750.00	650.00	650.00	68.3	-	-	-	-	-	-	-	-	-	-	-	-	(7)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
028	B0.7 Ia Nwk	5.76	0.10	0.10	68.3	24000.00	1000.00	1000.00	68.3	2.75	0.20	0.20	68.3	50.00	30.00	30.00	68.3	-	-	-	-	(5)	44.2	6.6	5.9	68.3	70	106	75	68.3	3.8	0.3	0.5	68.3	40.4	6.2	4.5	68.4	43.2	7.5	5.5	68.3
029	B1 V	3.87	0.10	0.10	68.3	24000.00	1000.00	1000.00	68.3	4.00	0.10	0.10	68.3	<40.00	-	-	100.0	-	-	-	-	(6)	9.0	0.5	0.5	68.3	40	5	36	68.3	16.4	2.7	2.8	68.3	9.0	0.5	0.5	68.3	4.8	0.5	0.4	68.3
030	B3-5e (shell)	3.83	0.30	0.30	68.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	(6)	7.0	1.6	1.3	68.3	310	142	158	68.6	18.5-47.7	-	-	100.0	7.0	1.6	1.3	68.3	9.7	1.4	1.7	68.3
031	B1.5 V	3.88	0.25	0.25	68.3	22000.00	3100.00	3100.00	68.3	3.60	0.15	0.15	68.3	107.00	30.00	30.00	68.3	-	-	-	-	(6)	8.4	1.4	1.3	68.3	180	61	110	68.3	21.4	9.1	5.2	68.3	8.4	1.4	1.3	68.3	6.9	1.4	1.2	68.3
032	Late G/Early K	3.22	0.33	0.33	68.3	4750.00	650.00	650.00	68.3	-	-	-	-	-	-	-	-	-	-	-	-	(7)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
